t,R2,L1,R1,L2,L3,L4,R4,R3
0.00,7.2,28.5,7.7,8.3,77.7,93.2,89.1,82.8
0.05,7.2,28.5,7.7,8.3,77.7,93.2,89.1,82.8
0.10,76.2,28.1,7.4,8.6,9.9,93.1,89.4,84.8
0.15,76.9,28.7,7.3,8.5,10.0,92.9,89.4,84.7
0.20,78.4,27.3,7.6,8.8,9.1,92.5,89.8,85.6
0.25,81.7,28.3,7.3,8.0,9.6,92.4,90.5,83.9
0.30,82.6,26.1,6.5,7.1,8.7,91.9,90.0,84.8
0.35,85.4,26.7,5.9,6.7,9.2,91.7,89.9,83.7
0.40,86.2,23.4,5.7,6.1,7.3,90.8,90.8,84.7
0.45,87.8,23.1,4.7,4.9,7.5,91.2,90.6,83.8
0.50,87.2,21.3,4.1,5.0,6.8,90.4,90.0,86.1
0.55,88.7,22.3,4.1,4.9,6.9,91.4,90.8,85.6
0.60,88.7,20.1,4.0,4.5,5.9,90.9,90.0,88.0
0.65,89.1,21.0,3.5,4.3,6.8,90.6,89.1,88.0
0.70,89.8,18.9,4.3,4.1,5.6,90.5,89.9,89.1
0.75,91.0,19.3,5.0,4.2,5.7,90.2,90.2,88.3
0.80,91.4,18.8,5.5,4.2,5.4,89.7,90.1,88.3
0.85,91.0,18.4,5.5,3.8,6.1,87.7,88.9,89.4
0.90,92.0,75.8,5.0,2.3,6.8,13.3,89.2,88.3
0.95,92.4,76.0,6.0,2.3,6.1,13.5,89.4,88.7
1.00,92.3,76.6,6.1,2.2,6.4,13.6,88.4,89.2
1.05,92.3,76.7,6.3,2.1,6.5,13.2,87.2,89.9
1.10,92.2,77.0,6.8,2.0,6.4,13.5,86.7,90.2
1.15,93.1,77.5,7.0,2.2,6.0,12.9,87.8,89.7
1.20,93.0,77.7,7.0,2.5,7.0,12.7,85.2,90.3
1.25,93.2,76.8,7.2,3.0,7.0,13.1,85.8,90.3
1.30,93.2,78.3,8.1,4.2,6.9,14.3,86.4,90.2
1.35,93.7,79.0,9.0,7.8,6.6,15.1,87.3,89.9
1.40,93.4,80.8,10.0,8.4,6.9,17.0,86.4,90.4
1.45,93.3,81.6,9.9,10.0,8.4,17.6,85.7,90.3
1.50,94.0,81.4,9.9,11.8,9.0,17.4,86.7,89.2
1.55,93.4,82.5,10.3,13.4,9.6,18.4,85.6,89.1
1.60,93.2,83.4,10.9,15.2,9.5,20.2,86.9,89.2
1.65,93.6,83.8,11.6,17.5,11.2,21.3,86.2,89.4
1.70,93.3,83.3,60.1,18.9,11.9,21.2,12.1,88.9
1.75,92.5,84.4,62.9,21.2,12.4,22.5,12.6,89.9
1.80,92.9,84.1,63.5,21.5,12.3,22.8,12.6,89.2
1.85,92.9,83.6,65.2,21.7,11.9,22.6,11.7,88.6
1.90,92.6,84.0,66.2,21.7,12.0,22.7,11.8,88.4
1.95,91.9,84.5,66.8,21.4,11.6,23.1,11.6,88.2
2.00,91.4,84.7,66.9,20.6,10.9,23.1,12.1,88.6
2.05,91.1,82.6,70.2,20.7,11.0,20.3,11.3,87.9
2.10,91.1,83.2,70.6,20.7,11.0,21.1,11.7,88.1
2.15,91.1,83.4,69.9,20.7,10.5,21.1,12.1,88.2
2.20,90.7,83.6,69.8,20.4,10.5,21.0,12.3,87.8
2.25,91.3,82.8,72.1,20.8,10.8,20.9,12.1,87.5
2.30,90.1,84.4,71.4,21.0,10.9,21.7,13.3,88.2
2.35,90.9,84.2,71.0,21.2,10.6,22.3,13.6,87.6
2.40,90.9,83.4,72.6,21.0,10.0,20.6,12.3,86.3
2.45,90.2,83.8,72.5,20.4,9.6,21.3,12.5,85.1
2.50,88.4,84.8,72.7,51.7,9.8,20.9,14.3,14.7
2.55,90.1,84.0,71.9,51.2,9.3,20.8,13.6,15.9
2.60,88.5,84.9,74.0,53.1,9.2,20.6,14.7,15.2
2.65,88.0,84.5,74.9,54.7,9.5,20.9,14.5,14.9
2.70,87.1,85.4,75.4,56.0,10.3,22.5,15.6,14.7
2.75,86.9,85.8,75.3,56.6,10.5,23.2,15.7,14.5
2.80,88.2,84.2,75.8,56.6,9.5,22.0,15.5,15.5
2.85,87.9,83.7,77.3,60.0,8.9,21.4,15.4,15.5
2.90,87.6,83.9,76.7,59.8,8.6,21.6,15.6,14.8
2.95,86.4,84.6,78.2,62.9,8.4,21.5,16.3,14.4
3.00,85.1,85.1,78.8,64.5,8.4,21.6,16.8,14.3
3.05,86.1,84.2,77.1,63.5,8.5,22.8,16.5,15.5
3.10,83.3,85.0,79.4,65.8,8.4,22.1,17.2,14.5
3.15,81.4,86.3,76.6,65.0,8.8,23.5,17.6,14.4
3.20,81.0,85.0,75.7,64.9,8.1,22.7,17.0,15.2
3.25,78.4,85.3,78.1,66.9,7.5,21.4,16.6,13.9
3.30,6.2,83.1,76.8,65.3,75.5,19.2,14.9,14.3
3.35,5.6,82.9,75.4,64.9,75.3,18.1,13.8,13.1
3.40,4.5,81.3,77.2,66.7,77.7,15.1,11.8,11.6
3.45,4.4,80.1,77.8,67.0,79.5,13.2,12.0,11.4
3.50,3.9,80.7,78.5,68.7,81.0,12.8,11.4,10.3
3.55,4.3,78.5,75.7,68.4,80.2,13.3,10.8,11.6
3.60,4.4,81.1,78.3,72.4,84.0,13.8,12.2,11.2
3.65,5.8,82.8,78.1,74.5,86.5,16.0,14.1,12.5
3.70,6.8,83.4,77.3,75.3,86.4,17.1,15.2,14.3
3.75,7.2,85.4,76.8,75.9,87.6,18.6,16.4,14.4
3.80,8.7,84.6,72.6,74.0,85.2,19.8,17.3,16.9
3.85,8.2,83.8,74.9,76.3,87.9,17.8,16.2,16.4
3.90,7.2,85.0,75.6,76.7,87.8,17.9,16.7,15.7
3.95,7.0,85.9,75.7,76.2,88.0,18.1,17.6,15.1
4.00,7.1,83.3,74.3,77.0,88.3,16.3,16.5,16.1
4.05,7.0,84.6,75.0,77.0,88.6,17.0,17.8,16.2
4.10,7.2,27.3,74.9,77.5,89.1,83.9,18.0,16.5
4.15,7.7,28.9,74.9,78.2,89.4,84.6,19.1,17.8
4.20,7.9,30.4,75.6,79.7,91.1,86.0,20.2,18.4
4.25,9.2,30.9,73.9,78.7,90.6,85.3,21.9,19.2
4.30,9.9,31.6,75.1,79.4,91.0,86.1,21.6,20.3
4.35,10.0,31.2,75.7,78.3,91.7,86.8,22.1,20.8
4.40,9.6,31.6,74.8,78.2,91.7,87.3,21.3,21.4
4.45,10.4,29.4,73.2,76.8,91.3,86.8,21.7,21.5
4.50,10.7,29.3,71.7,75.9,91.5,86.9,20.8,22.2
4.55,11.4,27.1,69.0,76.3,91.6,86.9,20.5,21.8
4.60,12.0,24.2,66.0,73.5,90.9,85.7,20.2,22.3
4.65,12.3,20.2,62.4,71.4,89.7,84.3,19.5,22.7
4.70,11.7,19.1,62.3,73.1,91.2,85.3,19.2,21.5
4.75,11.4,16.7,64.1,72.8,91.3,85.3,18.2,21.0
4.80,11.8,16.2,57.8,70.2,91.0,84.8,17.4,21.7
4.85,12.0,15.4,56.6,69.2,90.9,84.0,18.2,21.2
4.90,14.7,15.0,16.7,67.2,89.4,83.7,88.4,21.5
4.95,14.8,15.2,16.4,66.8,90.2,84.5,89.4,21.7
5.00,15.0,14.6,16.7,66.1,90.3,83.8,89.3,20.6
5.05,15.2,15.2,16.8,64.8,90.1,83.7,90.6,21.6
5.10,14.9,14.3,17.2,62.4,89.5,82.8,91.0,20.4
5.15,14.9,14.5,17.0,61.7,89.7,83.2,91.4,20.5
5.20,14.2,15.4,16.9,62.0,90.2,84.2,91.0,19.7
5.25,13.9,15.0,16.9,59.9,89.8,83.8,91.2,19.3
5.30,14.0,14.7,16.5,58.5,89.5,83.2,91.3,18.8
5.35,13.1,15.8,16.0,59.1,90.4,84.1,91.1,18.5
5.40,12.7,15.8,16.2,55.8,89.9,83.6,91.0,18.2
5.45,12.6,15.4,15.7,53.9,89.4,83.2,91.4,17.8
5.50,12.4,15.4,16.1,49.7,88.2,82.8,91.7,18.2
5.55,12.5,15.8,16.2,48.7,88.4,82.5,91.7,18.1
5.60,13.3,15.8,16.6,46.7,87.7,81.5,91.4,19.6
5.65,13.2,16.5,16.3,47.1,88.1,81.7,91.4,19.9
5.70,12.6,16.6,14.8,13.0,87.3,81.1,91.1,79.9
5.75,11.3,17.2,14.8,12.6,87.6,81.9,91.6,80.4
5.80,12.2,16.8,14.4,13.1,86.3,81.2,91.3,81.5
5.85,12.4,17.0,14.5,13.4,86.2,81.1,91.2,82.4
5.90,12.0,17.1,14.2,12.8,86.2,81.3,91.9,81.1
5.95,11.8,17.4,13.7,12.5,86.2,81.4,91.8,81.4
6.00,10.7,18.8,12.9,12.5,86.6,82.7,92.7,81.2
6.05,11.6,18.7,12.6,14.1,85.8,81.7,91.9,83.4
6.10,12.7,19.0,12.7,14.4,84.5,81.0,91.1,81.9
6.15,11.2,20.4,11.9,14.0,85.7,82.3,92.2,81.1
6.20,12.7,19.8,11.4,15.5,83.0,81.2,91.6,82.3
6.25,13.6,19.7,11.5,15.7,80.8,80.7,91.3,81.6
6.30,13.6,20.7,11.4,16.0,79.6,80.6,91.0,80.7
6.35,14.3,20.6,11.3,16.0,78.4,80.3,90.0,78.7
6.40,15.7,20.0,11.5,16.4,75.7,79.1,88.5,78.7
6.45,15.0,19.0,10.5,15.8,72.4,78.3,88.6,78.7
6.50,77.5,19.9,8.5,14.7,11.5,79.2,90.0,78.0
6.55,79.3,18.5,7.9,15.4,11.8,77.6,89.8,79.4
6.60,80.7,18.7,7.4,14.5,11.1,78.6,90.9,79.5
6.65,83.1,18.5,7.5,14.0,10.5,78.8,91.4,79.1
6.70,84.4,18.8,7.2,13.9,10.7,79.4,92.1,79.6
6.75,86.6,18.9,6.9,15.4,13.1,78.3,91.6,82.7
6.80,88.5,19.5,6.3,14.7,12.0,79.2,92.5,82.6
6.85,89.3,19.8,6.3,14.8,12.5,79.6,92.5,82.4
6.90,89.7,19.7,6.1,15.5,13.1,79.6,92.4,82.4
6.95,89.7,19.2,7.0,14.9,12.1,79.7,91.3,80.5
7.00,90.6,20.5,6.8,15.2,13.4,79.9,92.2,82.2
7.05,91.1,20.5,7.0,16.0,14.8,79.6,91.0,83.0
7.10,90.8,20.9,7.7,15.6,14.2,80.8,90.9,80.6
7.15,90.7,20.2,8.0,16.0,14.6,80.0,88.9,80.5
7.20,91.4,21.5,7.9,15.8,14.9,81.4,90.4,80.8
