t,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8
0.00,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0
0.05,3.1,0.0,0.0,0.0,0.0,46.9,96.9,53.1
0.10,6.2,0.0,0.0,0.0,0.0,43.7,93.8,56.2
0.15,9.4,0.0,0.0,0.0,0.0,40.6,90.6,59.4
0.20,12.5,0.0,0.0,0.0,0.0,37.5,87.5,62.5
0.25,15.6,0.0,0.0,0.0,0.0,34.4,84.4,65.6
0.30,18.8,0.0,0.0,0.0,0.0,31.2,81.3,68.7
0.35,21.9,0.0,0.0,0.0,0.0,28.1,78.1,71.9
0.40,25.0,0.0,0.0,0.0,0.0,25.0,75.0,75.0
0.45,28.1,0.0,0.0,0.0,0.0,21.9,71.9,78.1
0.50,31.2,0.0,0.0,0.0,0.0,18.7,68.8,81.2
0.55,34.4,0.0,0.0,0.0,0.0,15.6,65.6,84.4
0.60,37.5,0.0,0.0,0.0,0.0,12.5,62.5,87.5
0.65,40.6,0.0,0.0,0.0,0.0,9.4,59.4,90.6
0.70,43.8,0.0,0.0,0.0,0.0,6.2,56.3,93.8
0.75,46.9,0.0,0.0,0.0,0.0,3.1,53.1,96.9
0.80,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0
0.85,53.1,3.1,0.0,0.0,0.0,0.0,46.9,96.9
0.90,56.2,6.2,0.0,0.0,0.0,0.0,43.8,93.8
0.95,59.4,9.4,0.0,0.0,0.0,0.0,40.6,90.6
1.00,62.5,12.5,0.0,0.0,0.0,0.0,37.5,87.5
1.05,65.6,15.6,0.0,0.0,0.0,0.0,34.4,84.4
1.10,68.8,18.8,0.0,0.0,0.0,0.0,31.3,81.2
1.15,71.9,21.9,0.0,0.0,0.0,0.0,28.1,78.1
1.20,75.0,25.0,0.0,0.0,0.0,0.0,25.0,75.0
1.25,78.1,28.1,0.0,0.0,0.0,0.0,21.9,71.9
1.30,81.2,31.2,0.0,0.0,0.0,0.0,18.8,68.8
1.35,84.4,34.4,0.0,0.0,0.0,0.0,15.6,65.6
1.40,87.5,37.5,0.0,0.0,0.0,0.0,12.5,62.5
1.45,90.6,40.6,0.0,0.0,0.0,0.0,9.4,59.4
1.50,93.8,43.8,0.0,0.0,0.0,0.0,6.3,56.3
1.55,96.9,46.9,0.0,0.0,0.0,0.0,3.1,53.1
1.60,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
1.65,96.9,53.1,3.1,0.0,0.0,0.0,0.0,46.9
